Supplementary Data 3: Global mRNA half-lives measurement				
ENSEMBL Gene Id	Gene Symbol	Type	Half-life	Minimum Expression Value
ENSG00000118680	MRLC2	mRNA	609.3790135	69.95358
ENSG00000109919	MTCH2	mRNA	609.3219309	146.6705
ENSG00000083454	P2RX5	mRNA	609.2311934	12.81053
ENSG00000170310	STX8	mRNA	608.7221155	10.33334
ENSG00000173890	GPR160	mRNA	607.6888517	4.806182
hsa-mir-622	hsa-mir-622	miRNA	607.5086364	110.0565
ENSG00000166347	CYB5A	mRNA	606.8486602	50.31065
ENSG00000146701	MDH2	mRNA	606.6772793	228.9281
ENSG00000105220	GPI	mRNA	606.4814263	313.9402
ENSG00000167645	YIF1B	mRNA	605.9331934	11.91377
ENSG00000163902	RPN1	mRNA	605.0679128	95.94772
ENSG00000185825	BCAP31	mRNA	603.9025869	59.56437
ENSG00000169189	NSMCE1	mRNA	603.8398546	27.644
ENSG00000105655	ISYNA1	mRNA	601.7333073	72.81229
ENSG00000143575	HAX1	mRNA	600.8975248	40.79941
ENSG00000103502	CDIPT	mRNA	600.6102947	94.562
ENSG00000204632	HLA-G	mRNA	600.3989209	50.20835667
ENSG00000187051	RPS19BP1	mRNA	600.3959035	32.66691
ENSG00000160211	G6PD	mRNA	600.3640167	44.89563
ENSG00000185627	PSMD13	mRNA	598.9132104	33.88319
ENSG00000053501	USE1	mRNA	597.8221401	30.09828
ENSG00000196924	FLNA	mRNA	597.5778994	38.55603
ENSG00000175203	DCTN2	mRNA	597.1550458	59.08007
ENSG00000104904	OAZ1	mRNA	597.1064887	213.8732
ENSG00000116209	TMEM59	mRNA	596.7963451	135.2565
ENSG00000104341	LAPTM4B	mRNA	596.0972689	209.5232
ENSG00000105393	C19orf62	mRNA	594.8368244	49.67717
ENSG00000107223	EDF1	mRNA	594.1566805	40.72239
ENSG00000089597	GANAB	mRNA	593.621782	107.9326
ENSG00000141971	FAM125A	mRNA	591.8333773	16.58874
ENSG00000163466	ARPC2	mRNA	591.1263421	84.06812
ENSG00000112514	CUTA	mRNA	590.8528453	75.84869
ENSG00000142507	PSMB6	mRNA	590.7293411	154.0144
ENSG00000168028	RPSA	mRNA	590.7061996	218.09145
ENSG00000215021	PHB2	mRNA	590.1914982	191.9273
ENSG00000101057	MYBL2	mRNA	590.0863682	120.6304
ENSG00000122034	GTF3A	mRNA	589.9848817	16.79744
ENSG00000102119	EMD	mRNA	589.5312312	33.15762
ENSG00000156298	TSPAN7	mRNA	589.405793	26.52704
ENSG00000184967	NOC4L	mRNA	588.7211058	19.00073
ENSG00000106066	CPVL	mRNA	588.4889069	18.3119
ENSG00000060762	BRP44L	mRNA	588.3474982	37.40324
ENSG00000178982	EIF3K	mRNA	588.2311948	142.7095
ENSG00000130724	CHMP2A	mRNA	588.1861021	84.45116
ENSG00000206505	HLA-A	mRNA	587.749317	73.62289
ENSG00000149328	GLB1L2	mRNA	587.7236259	28.07212
ENSG00000162244	RPL29	mRNA	587.4585867	59.92125
ENSG00000167792	NDUFV1	mRNA	586.9303458	67.56377
ENSG00000205155	PSENEN	mRNA	586.759425	138.0476
ENSG00000166562	SEC11C	mRNA	586.745353	25.65528
ENSG00000140105	WARS	mRNA	585.959653	72.99452
---	OCC-1	mRNA	585.8787092	25.74593
ENSG00000131469	RPL27	mRNA	585.7504485	118.4593
ENSG00000118181	RPS25	mRNA	585.6352508	170.35418
ENSG00000123159	GIPC1	mRNA	585.2072197	20.99514
ENSG00000105552	BCAT2	mRNA	584.9440211	24.83713
ENSG00000139641	FAM62A	mRNA	584.4271688	44.66283
---	RFPL4A	mRNA	584.0455904	16.18554
ENSG00000101365	IDH3B	mRNA	583.5275462	103.4453
ENSG00000163479	SSR2	mRNA	583.4328998	205.9944
ENSG00000160948	VPS28	mRNA	583.3192559	11.62454
ENSG00000172500	FIBP	mRNA	581.8484273	27.07442
ENSG00000166295	C10orf104	mRNA	581.6098625	50.34678
ENSG00000171311	EXOSC1	mRNA	581.0699511	75.38949
ENSG00000119333	WDR34	mRNA	581.0558258	25.9858
ENSG00000138074	SLC5A6	mRNA	580.9290266	29.33425
ENSG00000008988	RPS20	mRNA	580.7949901	149.3065
ENSG00000018610	CXorf56	mRNA	580.0005548	12.28043
ENSG00000138029	HADHB	mRNA	579.9936629	47.60583
ENSG00000105223	PLD3	mRNA	579.7565622	50.28048
ENSG00000166313	APBB1	mRNA	579.4247212	8.880891
ENSG00000105953	OGDH	mRNA	578.253993	39.55687
ENSG00000108679	LGALS3BP	mRNA	577.958196	88.64708
ENSG00000108828	VAT1	mRNA	576.5271261	35.66933
ENSG00000166228	PCBD1	mRNA	576.5251289	29.52304
---	LOC284230	mRNA	576.1688588	51.65923
ENSG00000159335	PTMS	mRNA	574.8510647	21.66755
ENSG00000105373	GLTSCR2	mRNA	574.2977266	58.474745
ENSG00000128185	DGCR6L	mRNA	574.2681204	8.049319
ENSG00000138629	UBL7	mRNA	574.1243108	44.23188
ENSG00000077348	EXOSC5	mRNA	572.9822802	83.96305
ENSG00000136521	NDUFB5	mRNA	572.7220757	40.29556
ENSG00000167085	PHB	mRNA	572.0750073	142.3199
ENSG00000105677	TMEM147	mRNA	571.8116427	69.4562
ENSG00000167397	VKORC1	mRNA	571.174344	80.18755
ENSG00000183255	PTTG1IP	mRNA	570.8417531	72.84136
ENSG00000185624	P4HB	mRNA	570.7389775	154.606
ENSG00000184779	RPS17	mRNA	570.4728656	478.737
ENSG00000103507	BCKDK	mRNA	569.1266218	20.49871
ENSG00000100129	EIF3EIP	mRNA	568.9862881	209.4981
ENSG00000102030	ARD1A	mRNA	567.3486071	50.66272
ENSG00000125743	SNRPD2	mRNA	566.9455478	46.43181
ENSG00000104960	PTOV1	mRNA	566.9110688	20.75043
ENSG00000107798	LIPA	mRNA	566.8753074	41.16275
ENSG00000067225	PKM2	mRNA	566.869892	395.1297
ENSG00000105518	TMEM205	mRNA	566.6645411	19.26747
ENSG00000090013	BLVRB	mRNA	566.6092728	8.574502
ENSG00000111057	KRT18	mRNA	566.4830908	67.77867
ENSG00000165283	STOML2	mRNA	566.0159858	84.45677
ENSG00000184220	C3orf26	mRNA	565.8612709	20.0702
ENSG00000116521	SCAMP3	mRNA	565.4212099	46.77597
ENSG00000174744	BRMS1	mRNA	563.979604	11.88758
ENSG00000145725	HISPPD1	mRNA	563.6429734	31.77868
ENSG00000171863	RPS7	mRNA	563.4822036	28.42701
ENSG00000159199	ATP5G1	mRNA	563.4659117	42.99128
ENSG00000105568	PPP2R1A	mRNA	563.254291	132.4851
ENSG00000087086	FTL	mRNA	563.1670182	79.32831
ENSG00000141510	TP53	mRNA	562.8183372	57.00089
ENSG00000120885	CLU	mRNA	561.8890512	15.53739
ENSG00000007520	C16orf42	mRNA	561.7160976	20.47167
ENSG00000111144	LTA4H	mRNA	561.702075	167.3594
ENSG00000090266	NDUFB2	mRNA	561.3083271	30.7948
ENSG00000100243	CYB5R3	mRNA	559.9394535	34.02373
ENSG00000100902	PSMA6	mRNA	559.5751655	94.59795
ENSG00000175756	AURKAIP1	mRNA	559.5610512	52.27111
ENSG00000169738	DCXR	mRNA	558.4325298	138.346
ENSG00000197157	SND1	mRNA	558.1794178	137.3161
---	LOC402057	mRNA	557.9994209	10.8848
ENSG00000173915	USMG5	mRNA	557.9578023	52.943155
ENSG00000239672	NME1	mRNA	557.7559503	116.8266
ENSG00000135624	CCT7	mRNA	557.6776346	454.6454
ENSG00000079462	PAFAH1B3	mRNA	557.2564106	19.82322
ENSG00000132600	PRMT7	mRNA	557.1526584	22.35811
ENSG00000071462	WBSCR22	mRNA	556.7724786	72.28808
ENSG00000140284	SLC27A2	mRNA	556.3811236	36.67316
ENSG00000137818	RPLP1	mRNA	556.0281457	388.0392
ENSG00000213719	CLIC1	mRNA	555.8280106	63.91877333
ENSG00000141349	G6PC3	mRNA	555.1772427	30.38108
ENSG00000204308	RNF5	mRNA	554.8658812	38.4196825
ENSG00000147889	CDKN2A	mRNA	554.6874713	40.80387
ENSG00000117984	CTSD	mRNA	554.6834622	38.10406
ENSG00000124733	MEA1	mRNA	554.2633125	57.50268
ENSG00000110492	MDK	mRNA	553.8623128	32.22895
ENSG00000167775	CD320	mRNA	553.8312389	27.94588
ENSG00000176171	BNIP3	mRNA	553.5673685	32.71555
ENSG00000196465	MYL6B	mRNA	553.2050595	20.3573
ENSG00000127884	ECHS1	mRNA	552.1889536	99.57223
---	LOC441876	mRNA	552.1008543	237.5163
ENSG00000126254	RBM42	mRNA	551.3505528	52.79305
ENSG00000177600	RPLP2	mRNA	550.4303121	228.209
ENSG00000014216	CAPN1	mRNA	550.3137372	7.929584
ENSG00000168397	ATG4B	mRNA	549.8768376	21.865615
ENSG00000127445	PIN1	mRNA	549.8261547	47.1867
ENSG00000177731	FLII	mRNA	549.7891853	34.73397
ENSG00000168002	POLR2G	mRNA	549.7717463	26.00852
ENSG00000147065	MSN	mRNA	549.3037389	44.88976
ENSG00000197345	MRPL21	mRNA	549.2813213	15.48325
ENSG00000089053	ANAPC5	mRNA	549.2761631	89.84846
ENSG00000100612	DHRS7	mRNA	548.707482	16.17144
ENSG00000137312	FLOT1	mRNA	548.6594576	30.24401
ENSG00000114054	PCCB	mRNA	548.453468	72.17368
ENSG00000166710	B2M	mRNA	547.8588906	53.8691
ENSG00000170906	NDUFA3	mRNA	547.6094305	72.91717
ENSG00000090487	SPG21	mRNA	547.265523	41.84438
ENSG00000174100	MRPL45	mRNA	547.2034285	218.3342
ENSG00000103187	COTL1	mRNA	546.2229194	16.40653
ENSG00000130429	ARPC1B	mRNA	546.1685369	14.55367
ENSG00000104219	ZDHHC2	mRNA	546.1150696	50.22808
ENSG00000134779	C18orf10	mRNA	545.8558548	44.81236
ENSG00000138821	SLC39A8	mRNA	545.1160897	59.25502
ENSG00000120437	ACAT2	mRNA	545.0162622	59.6417
ENSG00000011485	PPP5C	mRNA	544.8218529	55.48904
ENSG00000116288	PARK7	mRNA	544.7450617	150.3897
ENSG00000071859	FAM50A	mRNA	544.3280099	30.41731
ENSG00000169241	RAG1AP1	mRNA	543.6726775	13.52605
ENSG00000141698	NT5C3L	mRNA	543.6540656	59.93369
ENSG00000137364	TPMT	mRNA	543.4220964	13.08689
ENSG00000117118	SDHB	mRNA	543.0190237	77.6893
ENSG00000108883	EFTUD2	mRNA	542.6047096	143.2231
ENSG00000181061	HIGD1A	mRNA	541.5171865	37.968665
ENSG00000204843	DCTN1	mRNA	541.428962	37.14894
ENSG00000124333	VAMP7	mRNA	541.0351315	86.43508
ENSG00000105202	FBL	mRNA	541.002734	224.0705
ENSG00000231389	HLA-DPA1	mRNA	540.9843415	13.39961667
ENSG00000081181	ARG2	mRNA	540.1401371	14.1503
ENSG00000179222	MAGED1	mRNA	539.9604325	35.0448
ENSG00000134308	YWHAQ	mRNA	539.8357001	255.4027
ENSG00000181929	PRKAG1	mRNA	539.5969472	116.5605
ENSG00000126067	PSMB2	mRNA	539.3656443	272.6747
ENSG00000133265	HSPBP1	mRNA	538.7458085	28.11108
ENSG00000095209	TMEM38B	mRNA	538.7233543	33.92835
ENSG00000143321	HDGF	mRNA	538.5924578	145.6099
ENSG00000198721	PECI	mRNA	537.8640919	20.23041
ENSG00000104522	TSTA3	mRNA	537.5538303	17.02329
ENSG00000023191	RNH1	mRNA	537.5167229	19.05222
ENSG00000127184	COX7C	mRNA	537.485406	48.93
ENSG00000203879	GDI1	mRNA	537.3476503	114.8774
ENSG00000173366	TWF2	mRNA	537.2410299	19.73121
ENSG00000101474	C20orf3	mRNA	537.2241895	49.97985
ENSG00000149923	PPP4C	mRNA	537.1954772	56.37569
ENSG00000173511	VEGFB	mRNA	537.1445582	5.690379
ENSG00000143891	GALM	mRNA	535.7891215	8.211587
ENSG00000169223	LMAN2	mRNA	535.5819866	110.775
ENSG00000113552	GNPDA1	mRNA	535.5195307	36.63282
ENSG00000165704	HPRT1	mRNA	535.3317175	116.1901
ENSG00000142657	PGD	mRNA	535.2358927	245.0183
ENSG00000178952	TUFM	mRNA	534.9471891	74.67121
---	hCG_1787519	mRNA	534.3742819	202.33455
ENSG00000175416	CLTB	mRNA	534.2099601	24.66934
ENSG00000169696	ASPSCR1	mRNA	534.1536008	13.32372
---	LOC644511	mRNA	533.9696537	4.834483
ENSG00000168904	LRRC28	mRNA	533.6097623	18.0547
ENSG00000100075	SLC25A1	mRNA	533.4288136	39.97785
ENSG00000126878	C9orf58	mRNA	533.3186446	17.62607
ENSG00000131966	ACTR10	mRNA	533.2833819	23.35575
ENSG00000132541	HRSP12	mRNA	533.1417262	9.450703
ENSG00000176101	SSNA1	mRNA	532.9212512	24.19991
ENSG00000117419	PRNPIP	mRNA	532.8826345	38.85974
ENSG00000007255	TRAPPC6A	mRNA	532.7485936	10.02887
ENSG00000139323	WDR51B	mRNA	532.5165857	11.05325
ENSG00000120992	LYPLA1	mRNA	532.1523161	52.16861
ENSG00000106588	PSMA2	mRNA	532.1495609	36.98909
ENSG00000156990	RPUSD3	mRNA	532.1010881	40.08648
ENSG00000111843	TMEM14C	mRNA	532.0899288	44.0742
ENSG00000144591	GMPPA	mRNA	531.5238228	16.4822
ENSG00000134824	FADS2	mRNA	531.3060733	26.59915
ENSG00000042753	AP2S1	mRNA	531.2463043	59.51056
ENSG00000100258	LMF2	mRNA	531.0258327	15.66657
ENSG00000105364	MRPL4	mRNA	530.9955931	23.02742
ENSG00000198189	HSD17B11	mRNA	530.9675045	25.75935
ENSG00000117543	DPH5	mRNA	530.4949474	41.09958
ENSG00000221983	UBA52	mRNA	530.4656848	236.7748
ENSG00000173221	GLRX	mRNA	530.455487	15.43286
ENSG00000179115	FARSA	mRNA	530.2908715	174.2287
ENSG00000138107	ACTR1A	mRNA	530.2729769	61.58417
ENSG00000125868	DSTN	mRNA	530.1921802	27.66652
ENSG00000055147	C5orf3	mRNA	530.1755855	14.47859
ENSG00000162076	FLYWCH2	mRNA	529.8025554	17.76515
ENSG00000241685	ARPC1A	mRNA	529.5180501	172.1941
ENSG00000184216	IRAK1	mRNA	529.0971169	23.85444
ENSG00000062716	TMEM49	mRNA	529.0069906	182.625
ENSG00000101439	CST3	mRNA	528.0128054	50.44532
ENSG00000166411	IDH3A	mRNA	527.8978453	262.7729
ENSG00000175166	PSMD2	mRNA	527.8385569	28.97437
ENSG00000197879	MYO1C	mRNA	527.674741	22.78073
ENSG00000100412	ACO2	mRNA	527.5270112	45.50494
ENSG00000013275	PSMC4	mRNA	526.8136241	146.2712
ENSG00000117448	AKR1A1	mRNA	526.7998484	34.08652
ENSG00000140545	MFGE8	mRNA	526.6232575	28.92866
ENSG00000127540	UQCR	mRNA	526.2124609	12.71609
ENSG00000063244	U2AF2	mRNA	526.2033695	66.10249
---	RPL24	mRNA	526.0564512	163.3933
ENSG00000161970	RPL26	mRNA	525.4416157	54.25626
ENSG00000140092	FBLN5	mRNA	524.5890553	9.460339
ENSG00000069849	ATP1B3	mRNA	524.5615899	37.28725
ENSG00000172757	CFL1	mRNA	524.2985393	141.6814
ENSG00000064115	TM7SF3	mRNA	524.1600739	51.35376
ENSG00000163682	RPL9	mRNA	523.8633314	269.0839
ENSG00000108298	RPL19	mRNA	523.4754806	77.00758
ENSG00000105409	ATP1A3	mRNA	523.2804312	21.48683
ENSG00000106537	TSPAN13	mRNA	523.1188203	61.51362
ENSG00000119705	C14orf156	mRNA	522.9189846	397.8479
